,symbol,pmu,psig2,pepsilon,pomega,palpha
1,AAL.L,1344.943261,2175.399551,1388.461394,63.79049666,-0.855015941
2,ABF.L,2672.519325,6799.603015,2731.865,101.5948432,-0.732111701
3,ADM.L,1708.854614,3181.657618,1658.112886,75.87081502,0.838205375
4,AHT.L,1663.71949,1840.768568,1686.933141,48.78157604,-0.596413633
5,ANTO.L,739.0437026,518.7949539,734.3524557,23.25516612,0.252830104
6,AV.L,473.5307627,379.8343653,457.1253217,25.47494573,0.807113442
7,AZN.L,4408.437821,20115.67787,4249.321626,213.1516862,0.935589955
8,BA.L,633.3407572,307.0419296,650.5671851,24.57217426,-0.878641239
9,BAB.L,915.1988645,576.8365003,931.228123,28.87513862,-0.69574372
10,BARC.L,232.1627293,66.06423098,224.7165927,11.02312032,0.846615843
11,BATS.L,4625.096987,42091.48178,4446.763191,271.8352893,0.82221947
12,BDEV.L,526.7463356,274.4484021,516.9875017,19.22714855,0.636125761
13,BLND.L,627.9228571,281.1148778,645.5244642,24.30908163,-0.907493888
14,BLT.L,1470.072333,1570.258562,1427.813522,57.93156029,0.914243723
15,BNZL.L,2159.936168,3420.387254,2184.17173,63.30679038,-0.479802751
16,BP.L,532.834,294.3507185,516.4912827,23.69462235,0.864439128
17,BRBY.L,1518.402507,3423.31124,1579.463,84.56769523,-0.904931596
18,BT.A.L,390.8400557,92.88261823,392.0639201,9.714960746,-0.157889115
19,CCH.L,1838.761353,3391.997552,1882.348114,72.74478202,-0.750952888
20,CCL.L,4164.226312,17802.37173,4003.549963,208.8522466,0.964212467
21,CNA.L,217.141135,73.58546085,225.1757165,11.75329572,-0.856768585
22,CPG.L,1388.750811,1372.519072,1360.941933,46.32334988,0.752390738
23,CPI.L,492.4025863,279.7480088,506.4175287,21.82124242,-0.804955335
24,CRDA.L,3301.190465,10620.3056,3200.883579,143.8116027,0.874171739
25,CRH.L,2824.021212,7164.715349,2869.484127,96.08117406,-0.593033078
26,CTEC.L,261.5437108,129.22936,269.0434846,13.61895616,-0.690183036
27,DC.L,361.732079,242.1774447,342.3693741,24.84133222,0.976902188
28,DCC.L,6274.112688,44544.3603,6204.251757,222.3171383,0.393841397
29,DGE.L,2232.952463,5895.026806,2312.94374,110.8766487,-0.904195786
30,DLG.L,353.4930497,95.51179562,359.0068342,11.22112364,-0.615847785
31,EXPN.L,1572.165319,3410.932071,1619.609043,75.24519275,-0.790241715
32,EZJ.L,1100.654931,1947.024784,1064.505627,57.04206316,0.79426359
33,FRES.L,1418.281653,2784.623171,1389.656957,60.03329385,0.597597323
34,GKN.L,341.7377612,110.7652818,349.5143292,13.08588137,-0.744809028
35,GLEN.L,308.225444,95.1911126,315.250404,12.02252782,-0.732331983
36,GSK.L,1504.081618,2976.517245,1550.415382,71.5774749,-0.811299383
37,HIK.L,1840.400249,3090.440597,1803.053307,66.97189467,0.698911844
38,HL.L,1306.911778,1460.261787,1340.993461,51.20373916,-0.834217497
39,HMSO.L,541.7801494,364.9161746,524.6006342,25.69147554,0.838072892
40,HSBA.L,655.3810174,616.3192798,681.5793879,36.09257397,-0.909738057
41,IAG.L,489.2178655,161.6062484,484.3307206,13.61948727,0.449732626
42,IHG.L,3680.443331,22121.80961,3601.205205,168.5244499,0.58929291
43,III.L,687.0716583,544.4188384,675.4294963,26.07601916,0.559567248
44,IMB.L,3652.309369,18836.1487,3711.908068,149.6267144,-0.499214948
45,INF.L,702.7749658,945.8175616,668.9667373,45.70354337,0.927112596
46,INTU.L,281.4543493,51.74562792,282.5236671,7.272487089,-0.184282364
47,ITRK.L,3589.691754,9051.64522,3498.119667,132.0495829,0.869132555
48,ITV.L,207.9233205,95.15414794,217.2066193,13.4660234,-0.864018232
49,JMAT.L,3316.131225,14788.45811,3198.211051,169.3919286,0.87247971
50,KGF.L,360.5069308,130.2068651,353.4744166,13.40384726,0.657568631
51,LAND.L,1006.225171,1233.508102,1033.533521,44.48880908,-0.769315767
52,LGEN.L,253.5399614,81.05742376,246.3197364,11.54075703,0.78410888
53,LLOY.L,66.01217498,10.76235947,67.67920381,3.6798566,-0.567769625
54,LSE.L,2879.237556,7421.590514,2820.142171,104.4693974,0.708964375
55,MCRO.L,2054.261183,5536.111066,1988.99636,98.97276481,0.826462971
56,MDC.L,799.8963117,410.2057923,786.8567983,24.08806137,0.67845254
57,MERL.L,465.9103114,372.2580608,449.6067908,25.25990593,0.808927516
58,MKS.L,373.0228146,310.6283446,360.1482875,21.82617218,0.739287982
59,MNDI.L,1725.724384,3018.293075,1679.164897,72.0144351,0.810305082
60,MRW.L,246.0029971,45.67041406,249.1014138,7.434419997,-0.522339278
61,NG.L,973.3735099,1622.356547,941.560043,51.32692496,0.776829469
62,NXT.L,4081.604082,10976.84067,3968.331193,154.2970774,0.920085563
63,OML.L,226.4369688,72.20005772,236.3219282,13.03504817,-0.950434494
64,PFG.L,2961.718438,12576.75902,2857.641715,152.9990956,0.852559471
65,PPB.L,8707.544694,98246.72627,8993.412522,424.2253432,-0.844556312
66,PRU.L,1628.126891,2178.23002,1584.941274,63.5863788,0.851206592
67,PSN.L,1991.512244,2529.826047,2026.063107,61.02121086,-0.709639883
68,PSON.L,822.1168803,1103.329664,781.3597917,52.57822676,0.971532103
69,RB.L,6858.766379,51243.30955,6947.338971,243.0810843,-0.456675934
70,RBS.L,226.8948805,62.17491971,224.7032618,8.184015667,0.335628238
71,RDSA.L,2212.950395,7419.696672,2250.150614,93.82725082,-0.496908526
72,RDSB.L,2370.922141,6719.664577,2310.894653,101.6019877,0.740470744
73,REL.L,1476.143123,2436.962778,1504.297324,56.82976163,-0.620908077
74,RIO.L,3306.976018,16608.52887,3161.853327,194.0853531,0.937135736
75,RMG.L,473.8604432,320.5571494,461.7174314,21.63353611,0.70349148
76,RR.L,668.6403143,361.7538149,658.5305773,21.5397446,0.588246358
77,RRS.L,6709.098186,61095.95001,6900.497047,312.6171367,-0.76733765
78,RSA.L,610.2987741,574.9912117,591.2008821,30.65486402,0.780811095
79,SBRY.L,267.8446538,89.10392794,258.5396423,13.25470359,0.879846343
80,SDR.L,3114.045431,9363.095456,3035.908879,124.3720878,0.787392469
81,SGE.L,688.8561295,524.2211531,667.566784,31.26431491,0.853440666
82,SHP.L,4772.458487,50662.47986,4941.187099,281.3037941,-0.75174939
83,SKG.L,2152.291472,4090.727159,2182.817588,70.87009884,-0.539844211
84,SKY.L,970.2941778,1418.410732,1002.20801,49.36500225,-0.810251308
85,SL.L,335.526796,124.3326184,337.8389966,11.38766394,-0.254478329
86,SMIN.L,1591.639296,1769.292472,1574.068492,45.58536655,0.483087871
87,SN.L,1216.124672,973.2475748,1199.162665,35.50996004,0.598669313
88,SSE.L,1580.402299,1589.439455,1604.694876,46.6858519,-0.652151119
89,STAN.L,715.643115,311.9048808,701.0591554,22.90407735,0.798036197
90,STJ.L,1035.670625,1550.066002,1070.973782,52.88079877,-0.836710989
91,SVT.L,2239.93763,4394.28167,2282.81051,78.94533253,-0.68063792
92,TSCO.L,198.0606651,85.0276386,201.2892737,9.769931036,-0.414174968
93,TUI.L,1173.573654,1086.55507,1201.441247,43.16431172,-0.809160318
94,TW.L,174.4484289,30.34699701,170.8283895,6.59178903,0.688287595
95,ULVR.L,3447.31526,25093.28862,3610.562287,227.4706141,-0.899455989
96,UU.L,903.4353113,765.9229564,932.697071,40.27621557,-0.910566613
97,VOD.L,212.1097136,50.88713321,217.9294574,9.20633212,-0.792277216
98,WOS.L,4992.97404,17774.43582,5062.454727,150.339621,-0.57922939
99,WPG.L,294.8760147,107.2371083,285.0367073,14.28457484,0.863290872
100,WPP.L,1888.57842,2655.367067,1935.70253,69.82871078,-0.845802724
101,WTB.L,4074.858197,23319.65696,4209.926415,203.8702543,-0.830346282
